web-scraper-order,web-scraper-start-url,imagen-src,titulo,precio
"1705872271-1","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10678490/1473-lg-gram-16z90r-ead75b-intel-evo-core-i7-1360p-32gb-512gb-ssd-rtx-3050-16.jpg","LG Gram 16Z90R-E.AD75B Intel Evo Core i7-1360P/32GB/512GB SSD/RTX 3050/16""","1.829€"
"1705872271-2","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674386/1136-pccom-revolt-4050-intel-core-i5-13500h-16gb-500gb-ssd-rtx-4050-156-windows-11-home-comprar.jpg","PcCom Revolt 4050 Intel Core i5-13500H/16GB/500GB SSD/RTX 4050/15.6"" + Windows 11 Home",""
"1705872271-3","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1072/10720423/123-asus-rog-strix-g16-g614ji-n3163-intel-core-i7-13650hx-32gb-1tb-ssd-rtx-4070-16.jpg","ASUS ROG Strix G16 G614JI-N3163 Intel Core i7-13650HX/32GB/1TB SSD/RTX 4070/16""",""
"1705872271-4","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1071/10717386/1601-asus-tuf-gaming-f17-fx707zv4-hx004-intel-core-i7-12700h-32gb-1tb-ssd-rtx-4060-173.jpg","ASUS TUF Gaming F17 FX707ZV4-HX004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4060/17.3''","1.299€"
"1705872271-5","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1071/10717368/1570-asus-tuf-gaming-f15-fx507zv4-lp004-intel-core-i7-12700h-32gb-1tb-ssd-rtx-4060-156.jpg","ASUS TUF Gaming F15 FX507ZV4-LP003 Intel Core i7-12700H/32GB/1TB SSD/RTX 4060/15.6""",""
"1705872271-6","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10745674/165-msi-katana-17-b13vgk-694xes-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4070-173.jpg","MSI Katana 17 B13VGK-694XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4070/17.3""","1.399€"
"1705872271-7","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1079/10792747/1824-acer-nitro-v-15-anv15-51-51pq-intel-core-i5-13420h-16gb-1tb-ssd-rtx-3050-156-review.jpg","Acer Nitro V 15 ANV15-51-51PQ Intel Core i5-13420H/16GB/1TB SSD/RTX 3050/15.6""","769€"
"1705872271-8","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1072/10720421/1419-asus-tuf-gaming-f17-fx707vv4-hx025-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4060-173.jpg","ASUS TUF Gaming F17 FX707VV4-HX025 Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/17.3''","2.269€"
"1705872271-9","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1075/10753229/1483-msi-thin-gf63-12vf-696xes-intel-core-i5-12450h-16gb-512gb-ssd-rtx-4060-156.jpg","MSI Thin GF63 12VF-696XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4060/15.6""","849€"
"1705872271-10","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674346/1883-pccom-revolt-4060-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4060-156-comprar.jpg","PcCom Revolt 4060 Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/15.6”","1.339,91€"
"1705872271-11","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674388/1772-pccom-revolt-4060-intel-core-i5-13500h-16gb-500gb-ssd-rtx-4060-156-windows-11-home-comprar.jpg","PcCom Revolt 4060 Intel Core i5-13500H/16GB/500GB SSD/RTX 4060/15.6"" + Windows 11 Home",""
